,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
1,BP 110/02 (717221),ZSK 70.4,22010661,8:30,36,Trainee,11,2.42,FAIL,72.93,5.15,24.9,-1.51,0.57,1.81,55.91,"1,51 dunkler","0,57 röter","1,81 gelber",1.45,1 (05.09.2022 08:53:39)
2,BP 110/02 (717221),MP,22010660,16:43,35,Trainee,11,0.92,FAIL,74.45,4.67,24,0.02,0.09,0.91,53.13,"0,02 heller","0,09 röter","0,91 gelber",0.44,6 (05.09.2022 09:04:22)
3,BP 110/02 (717231),MP,22010637,6:38,36,Trainee,11,3.98,FAIL,71.39,6.27,25.01,-3.05,1.69,1.92,58.06,"3,05 dunkler","1,69 röter","1,92 gelber",2.79,8 (05.09.2022 09:11:06)
4,BP 110/02 (717221),ZSK 70.5,22010661,12:30,36,Trainee,11,4.23,FAIL,70.86,5.79,24.99,-3.58,1.21,1.91,57.85,"3,58 dunkler","1,21 röter","1,91 gelber",2.97,11 (05.09.2022 14:18:22)
5,BP 110/02 (717231),ZSK 70.8,22010638,15:00,36,Trainee,11,3.04,FAIL,72.33,5.74,24.95,-2.11,1.16,1.87,56.91,"2,11 dunkler","1,16 röter","1,87 gelber",1.99,13 (05.09.2022 15:27:18)
6,BP 110/02 (717221),ZSK 70.4,22010661,18:00,36,Trainee,11,0.87,Warnung,75.1,4.66,22.53,0.66,0.08,-0.55,50.29,"0,66 heller","0,08 röter","0,55 weniger gelb",0.58,14 (06.09.2022 07:22:01)
7,BP 110/02 (717221),ZSK 70.5,22010661,18:00,36,Trainee,11,2.42,FAIL,72.84,5.53,24.64,-1.6,0.95,1.55,55.9,"1,60 dunkler","0,95 röter","1,55 gelber",1.57,15 (06.09.2022 07:23:07)
8,BP 110/02 (717221),MP,22010661,2:35,36,Trainee,11,1.03,FAIL,73.65,5.01,23.6,-0.78,0.44,0.51,53.18,"0,78 dunkler","0,44 röter","0,51 gelber",0.72,16 (06.09.2022 07:26:14)
9,BP 110/02 (717231),ZSK 70.8,22010638,18:00,36,Trainee,11,3.15,FAIL,72.06,5.78,24.78,-2.37,1.2,1.7,56.81,"2,37 dunkler","1,20 röter","1,70 gelber",2.14,20 (06.09.2022 09:43:01)
10,BP 110/02 (717231),ZSK 70.8,22010638,6:00,36,Trainee,11,2.77,FAIL,72.43,5.65,24.66,-2.01,1.07,1.58,56.28,"2,01 dunkler","1,07 röter","1,58 gelber",1.86,21 (06.09.2022 09:44:24)
11,BP 110/02 (717231),ZSK 70.8,22010638 AA,6:00,36,Trainee,11,3.35,FAIL,72.02,5.92,24.97,-2.42,1.34,1.89,57.3,"2,42 dunkler","1,34 röter","1,89 gelber",2.25,22 (06.09.2022 09:46:01)
12,BP 110/02 (717221),ZSK 70.4,22010662,6:00,36,Trainee,11,3.09,FAIL,72.73,5.42,25.52,-1.71,0.85,2.43,57.34,"1,71 dunkler","0,85 röter","2,43 gelber",1.79,23 (06.09.2022 09:49:14)
13,BP 110/02 (717221),ZSK 70.5,22010662,6:00,36,Trainee,11,1.14,FAIL,73.88,4.73,24.06,-0.56,0.16,0.98,53.59,"0,56 dunkler","0,16 röter","0,98 gelber",0.63,24 (06.09.2022 09:50:43)
14,BP 110/02 (717221),ZSK 70.4,22010663,6:00,36,Trainee,11,1.81,FAIL,76.01,3.68,23.11,1.57,-0.9,0.03,49.92,"1,57 heller","0,90 weniger rot","0,03 gelber",1.44,40 (07.09.2022 08:51:21)
15,BP 110/02 (717221),ZSK 70.5,22010663,6:00,36,Trainee,11,0.74,PASS,75.11,4.27,23.03,0.67,-0.31,-0.05,50.77,"0,67 heller","0,31 weniger rot","0,05 weniger gelb",0.57,41 (07.09.2022 08:52:47)
16,BP 110/02 (717221),ZSK 70.8,22010638 1-22 AA,15:33,36,Trainee,11,2.33,FAIL,73.05,5.38,24.78,-1.38,0.8,1.69,55.87,"1,38 dunkler","0,80 röter","1,69 gelber",1.42,43 (07.09.2022 09:27:31)
17,BP 110/02 (717221),MP,22010663 1-22 AA,8:16,36,Trainee,11,1.06,FAIL,75.42,4.19,23.12,0.98,-0.39,0.03,50.69,"0,98 heller","0,39 weniger rot","0,03 gelber",0.81,47 (07.09.2022 09:34:15)
18,BP 110/02 (717221),MP,22010662 1-22,17:33,36,Trainee,11,1.29,FAIL,73.77,4.96,24.12,-0.67,0.38,1.04,53.97,"0,67 dunkler","0,38 röter","1,04 gelber",0.74,48 (07.09.2022 09:47:01)
19,BP 110/02 (717231),ZSK 70.8,22010639,6:00,36,Trainee,11,2.36,FAIL,72.75,5.49,24.46,-1.69,0.91,1.37,55.6,"1,69 dunkler","0,91 röter","1,37 gelber",1.57,50 (07.09.2022 10:03:12)
20,BP 110/02 (717231),ZSK 70.8,22010639,6:00,36,Trainee,11,2.96,FAIL,72.13,5.75,24.53,-2.3,1.17,1.45,56.31,"2,30 dunkler","1,17 röter","1,45 gelber",2.06,51 (07.09.2022 10:04:13)
21,BP 110/02 (717231),ZSK 70.8,22010639,13:00,36,Trainee,11,2.84,FAIL,72.2,5.54,24.55,-2.23,0.96,1.47,56.1,"2,23 dunkler","0,96 röter","1,47 gelber",1.94,61 (07.09.2022 14:25:04)
22,BP 110/02 (717231),ZSK 70.8,22010639,15:27,36,Trainee,11,3.3,FAIL,71.92,5.79,24.84,-2.52,1.21,1.75,56.99,"2,52 dunkler","1,21 röter","1,75 gelber",2.25,62 (08.09.2022 08:36:16)
23,BP 110/02 (717221),ZSK 70.4,22010665,6:00,36,Trainee,11,1.49,FAIL,75.7,3.81,23.27,1.26,-0.77,0.19,50.46,"1,26 heller","0,77 weniger rot","0,19 gelber",1.2,70 (08.09.2022 10:57:05)
24,BP 110/02 (717221),ZSK 70.5,22010665,6:00,36,Trainee,11,0.39,PASS,74.76,4.42,23.23,0.32,-0.16,0.15,51.43,"0,32 heller","0,16 weniger rot","0,15 gelber",0.3,71 (08.09.2022 10:59:38)
25,BP 110/02 (717231),ZSK 70.8,22010640,18:00,36,Trainee,11,2.69,FAIL,72.39,5.59,24.5,-2.05,1.01,1.41,55.97,"2,05 dunkler","1,01 röter","1,41 gelber",1.84,72 (08.09.2022 11:24:51)
26,BP 110/02 (717231),ZSK 70.8,22010640,18:00,36,Trainee,11,3.95,FAIL,71.26,6.17,24.82,-3.18,1.59,1.73,57.71,"3,18 dunkler","1,59 röter","1,73 gelber",2.81,73 (08.09.2022 11:26:22)
27,BP 110/02 (717231),ZSK 70.8,22010640,6:00,36,Trainee,11,2.42,FAIL,72.81,5.6,24.56,-1.63,1.02,1.48,55.85,"1,63 dunkler","1,02 röter","1,48 gelber",1.6,74 (08.09.2022 11:27:43)
28,BP 110/02 (717231),ZSK 70.8,22010640,6:00,36,Trainee,11,2.24,FAIL,72.83,5.51,24.34,-1.61,0.93,1.25,55.37,"1,61 dunkler","0,93 röter","1,25 gelber",1.52,75 (08.09.2022 11:29:24)
29,BP 110/02 (717231),ZSK 70.8,22010640,8:15,36,Trainee,11,2.15,FAIL,72.75,5.34,24.19,-1.68,0.76,1.1,54.98,"1,68 dunkler","0,76 röter","1,10 gelber",1.48,76 (08.09.2022 11:30:46)
30,BP 110/02 (717221),ZSK 70.4,22010664,18:00,36,Trainee,11,1.27,FAIL,75.3,4.09,22.29,0.86,-0.49,-0.79,49.23,"0,86 heller","0,49 weniger rot","0,79 weniger gelb",0.84,77 (08.09.2022 12:32:01)
31,BP 110/02 (717221),ZSK 70.5,22010664,18:00,36,Trainee,11,1.1,FAIL,75.41,4.11,22.89,0.98,-0.47,-0.19,50.23,"0,98 heller","0,47 weniger rot","0,19 weniger gelb",0.84,78 (08.09.2022 12:33:28)
32,BP 110/02 (717221),MP,22010664,23:01,36,Trainee,11,1.38,FAIL,75.5,4.14,22.32,1.06,-0.44,-0.76,49.24,"1,06 heller","0,44 weniger rot","0,76 weniger gelb",0.93,79 (08.09.2022 12:34:53)
33,BP 110/02 (717221),ZSK 70.4,22010667,6:00,36,Trainee,11,1.86,FAIL,76.05,3.78,22.63,1.62,-0.8,-0.46,49.16,"1,62 heller","0,80 weniger rot","0,46 weniger gelb",1.41,88 (09.09.2022 08:09:48)
34,BP 110/02 (717221),ZSK 70.5,22010667,6:00,36,Trainee,11,1.4,FAIL,75.67,4.02,22.76,1.24,-0.56,-0.32,49.8,"1,24 heller","0,56 weniger rot","0,32 weniger gelb",1.05,89 (09.09.2022 08:11:03)
35,BP 110/02 (717231),ZSK 70.8,22010641,7:20,36,Trainee,11,2.97,FAIL,71.68,5.5,23.71,-2.75,0.92,0.62,54.89,"2,75 dunkler","0,92 röter","0,62 gelber",2.23,94 (09.09.2022 10:52:56)
36,BP 110/02 (717231),ZSK 70.8,22010641,6:00,36,Trainee,11,2.82,FAIL,71.93,5.51,23.99,-2.5,0.93,0.9,55.25,"2,50 dunkler","0,93 röter","0,90 gelber",2.06,95 (09.09.2022 10:54:36)
37,BP 110/02 (717231),ZSK 70.8,22010641,10:00,36,Trainee,11,2.72,FAIL,71.99,5.46,23.91,-2.44,0.88,0.82,55.02,"2,44 dunkler","0,88 röter","0,82 gelber",2,96 (09.09.2022 10:56:06)
38,BP 110/02 (717231),ZSK 70.8,22010641,18:00,36,Trainee,11,2.89,FAIL,72.22,5.68,24.58,-2.22,1.1,1.5,56.28,"2,22 dunkler","1,10 röter","1,50 gelber",1.99,97 (09.09.2022 10:57:24)
39,BP 110/02 (717231),ZSK 70.8,22010641,18:00,36,Trainee,11,3.61,FAIL,71.55,6.04,24.68,-2.89,1.47,1.6,57.19,"2,89 dunkler","1,47 röter","1,60 gelber",2.57,98 (09.09.2022 10:58:41)
40,BP 110/02 (717231),ZSK 70.8,22010641,6:00,36,Trainee,11,2.62,FAIL,72.52,5.58,24.57,-1.92,1,1.49,56,"1,92 dunkler","1,00 röter","1,49 gelber",1.76,99 (09.09.2022 11:00:01)
41,BP 110/02 (717221),MP,22010665 1-22,14:14,36,Trainee,11,0.66,PASS,74.95,4.27,23.36,0.52,-0.31,0.28,51.41,"0,52 heller","0,31 weniger rot","0,28 gelber",0.52,100 (09.09.2022 11:06:21)
42,BP 110/02 (717231),ZSK 70.8,22010640 1-22,14:14,36,Trainee,11,2.83,FAIL,72.65,5.62,25.02,-1.78,1.05,1.93,56.73,"1,78 dunkler","1,05 röter","1,93 gelber",1.77,101 (09.09.2022 11:12:43)
43,BP 110/02 (717221),ZSK 70.4,22010666,18:00,36,Trainee,11,1.42,FAIL,75.29,4.28,24.17,0.86,-0.3,1.09,52.63,"0,86 heller","0,30 weniger rot","1,09 gelber",0.92,108 (09.09.2022 11:54:12)
44,BP 110/02 (717221),ZSK 70.5,22010666,18:00,36,Trainee,11,0.44,PASS,74.7,4.56,23.44,0.27,-0.01,0.35,51.94,"0,27 heller","0,01 weniger rot","0,35 gelber",0.27,109 (09.09.2022 11:55:30)
45,BP 110/02 (717221),MP,22010666 1-22,5:17,36,Trainee,11,1,FAIL,75.34,4.2,23.28,0.91,-0.38,0.19,51.01,"0,91 heller","0,38 weniger rot","0,19 gelber",0.78,110 (09.09.2022 11:56:39)
46,BP 110/02 (717221),ZSK 70.5,22010667,18:00,36,Trainee,11,1.08,FAIL,75.17,4.21,22.39,0.73,-0.37,-0.7,49.57,"0,73 heller","0,37 weniger rot","0,70 weniger gelb",0.7,123 (12.09.2022 08:32:08)
47,BP 110/02 (717221),MP,22010667 1-22,19:04,36,Trainee,11,2.5,FAIL,76.33,3.22,22.19,1.9,-1.36,-0.89,47.76,"1,90 heller","1,36 weniger rot","0,89 weniger gelb",1.91,124 (12.09.2022 08:33:21)
48,BP 110/02 (717221),ZSK 70.4,22010667,18:00,36,Trainee,11,3.18,FAIL,76.63,3.43,21.09,2.19,-1.14,-2,45.92,"2,19 heller","1,14 weniger rot","2,00 weniger gelb",2.09,125 (12.09.2022 08:34:31)
49,BP 110/02 (717221),ZSK 70.4,22010668,9:15,37,Trainee,11,2.34,FAIL,76.28,3.45,22.19,1.84,-1.13,-0.89,48,"1,84 heller","1,13 weniger rot","0,89 weniger gelb",1.74,126 (12.09.2022 09:36:42)
50,BP 110/02 (717221),ZSK 70.5,22010668,09;:15,37,Trainee,11,0.87,Warnung,74.99,4.01,22.74,0.56,-0.57,-0.34,50.07,"0,56 heller","0,57 weniger rot","0,34 weniger gelb",0.68,127 (12.09.2022 09:38:14)
51,BP 110/02 (717221),MP,22010641 1-22,12:21,36,Trainee,11,1.03,FAIL,73.56,5.05,23.37,-0.87,0.47,0.29,52.88,"0,87 dunkler","0,47 röter","0,29 gelber",0.78,130 (12.09.2022 10:50:23)
52,BP 110/02 (717221),ZSK 70.8,22010642,11:15,37,Trainee,11,4.93,FAIL,70.21,6.2,25.05,-4.22,1.63,1.96,58.73,"4,22 dunkler","1,63 röter","1,96 gelber",3.54,131 (12.09.2022 11:45:05)
53,BP 110/02 (717221),ZSK 70.4,22010669,6:00,37,Trainee,11,1.18,FAIL,75.45,3.99,22.96,1.01,-0.59,-0.12,50.22,"1,01 heller","0,59 weniger rot","0,12 weniger gelb",0.93,137 (13.09.2022 08:14:55)
54,BP 110/02 (717221),ZSK 70.5,22010669,6:00,37,Trainee,11,0.39,PASS,74.19,4.64,22.79,-0.24,0.06,-0.3,51.16,"0,24 dunkler","0,06 röter","0,30 weniger gelb",0.25,138 (13.09.2022 08:16:30)
55,BP 110/02 (717221),ZSK 70.4,22010668,18:00,37,Trainee,11,1.67,FAIL,74.96,3.87,21.66,0.52,-0.71,-1.42,48.08,"0,52 heller","0,71 weniger rot","1,42 weniger gelb",0.97,143 (13.09.2022 08:51:57)
56,BP 110/02 (717221),ZSK 70.5,22010668,18:00,37,Trainee,11,0.73,PASS,74.89,4.44,23.64,0.45,-0.14,0.56,52.09,"0,45 heller","0,14 weniger rot","0,56 gelber",0.47,144 (13.09.2022 08:53:26)
57,BP 110/02 (717221),MP,22010668,23:52,37,Trainee,11,1.54,FAIL,75.78,3.82,23.03,1.34,-0.76,-0.05,50.02,"1,34 heller","0,76 weniger rot","0,05 weniger gelb",1.22,145 (13.09.2022 08:54:53)
58,BP 110/02 (717231),ZSK 70.6,22010642,6:00,37,Trainee,11,3.82,FAIL,71.29,5.88,24.83,-3.14,1.3,1.74,57.42,"3,14 dunkler","1,30 röter","1,74 gelber",2.69,153 (13.09.2022 09:36:26)
59,BP 110/02 (717231),ZSK 70.8,22010642,6:00,37,Trainee,11,2.99,FAIL,71.98,5.61,24.44,-2.46,1.03,1.36,56.11,"2,46 dunkler","1,03 röter","1,36 gelber",2.1,154 (13.09.2022 09:37:35)
60,BP 110/02 (717231),ZSK 70.8,22010642,18:00,37,Trainee,11,4.73,FAIL,70.37,6.34,24.75,-4.06,1.76,1.67,58.28,"4,06 dunkler","1,76 röter","1,67 gelber",3.46,155 (13.09.2022 09:38:38)
61,BP 110/02 (717231),ZSK 70.8,22010642,18:00,37,Trainee,11,4.54,FAIL,70.46,6.12,24.66,-3.97,1.54,1.57,57.84,"3,97 dunkler","1,54 röter","1,57 gelber",3.32,156 (13.09.2022 09:39:40)
62,BP 110/02 (717231),ZSK 70.8,22010642,10:15,37,Trainee,11,3.79,FAIL,71.31,5.92,24.78,-3.12,1.34,1.69,57.35,"3,12 dunkler","1,34 röter","1,69 gelber",2.68,157 (13.09.2022 10:39:34)
63,BP 110/02 (717221),MP,22010669,18:55,37,Trainee,11,0.79,PASS,74.96,4.5,23.66,0.53,-0.08,0.58,52.13,"0,53 heller","0,08 weniger rot","0,58 gelber",0.5,158 (14.09.2022 07:39:02)
64,BP 110/02 (717221),ZSK 70.4,22010671,6:00,37,Trainee,11,1.35,FAIL,75.7,4.11,23.09,1.26,-0.47,0,50.43,"1,26 heller","0,47 weniger rot","0,00 gelber",1.03,163 (14.09.2022 09:47:44)
65,BP 110/02 (717221),ZSK 70.5,22010671,6:00,37,Trainee,11,0.62,PASS,74.94,4.23,23.1,0.5,-0.35,0.01,50.92,"0,50 heller","0,35 weniger rot","0,01 gelber",0.5,164 (14.09.2022 09:48:59)
66,BP 110/02 (717231),ZSK 70.8,22010643,18:00,37,Trainee,11,2.24,FAIL,72.77,5.5,24.27,-1.66,0.92,1.18,55.27,"1,66 dunkler","0,92 röter","1,18 gelber",1.54,165 (14.09.2022 09:52:22)
67,BP 110/02 (717231),ZSK 70.8,22010643,18:00,37,Trainee,11,4.07,FAIL,71.19,6.15,24.98,-3.24,1.57,1.89,58,"3,24 dunkler","1,57 röter","1,89 gelber",2.86,166 (14.09.2022 09:53:52)
68,BP 110/02 (717231),ZSK 70.8,22010643,6:00,37,Trainee,11,2.78,FAIL,72.17,5.67,24.28,-2.26,1.09,1.19,55.77,"2,26 dunkler","1,09 röter","1,19 gelber",1.98,167 (14.09.2022 09:55:17)
69,BP 110/02 (717231),ZSK 70.8,22010643,6:00,37,Trainee,11,2.9,FAIL,72.09,5.78,24.3,-2.35,1.2,1.22,55.98,"2,35 dunkler","1,20 röter","1,22 gelber",2.08,168 (14.09.2022 09:56:27)
70,BP 110/02 (717221),ZSK 70.4,22010670,18:00,37,Trainee,11,1.92,FAIL,76,3.74,22.37,1.57,-0.84,-0.72,48.7,"1,57 heller","0,84 weniger rot","0,72 weniger gelb",1.41,173 (14.09.2022 11:19:46)
71,BP 110/02 (717221),ZSK 70.5,22010670,18:00,37,Trainee,11,1.08,FAIL,75.4,4.14,22.88,0.97,-0.44,-0.2,50.25,"0,97 heller","0,44 weniger rot","0,20 weniger gelb",0.82,174 (14.09.2022 11:21:00)
72,BP 110/02 (717221),MP,22010670 1-22,4:54,37,Trainee,11,1.08,FAIL,75.41,4.13,23.07,0.98,-0.45,-0.01,50.56,"0,98 heller","0,45 weniger rot","0,01 weniger gelb",0.84,175 (14.09.2022 11:22:28)
73,BP 110/02 (717231),MP,22010642,10:46,37,GL,11,3.67,FAIL,71.33,6.01,24.43,-3.1,1.43,1.34,56.83,"3,10 dunkler","1,43 röter","1,34 gelber",2.67,185 (14.09.2022 14:02:36)
74,BP 110/02 (717221),ZSK 70.4,22010672,6:00,37,Trainee,11,0.63,PASS,74.93,4.4,23.43,0.5,-0.18,0.34,51.66,"0,50 heller","0,18 weniger rot","0,34 gelber",0.45,187 (15.09.2022 07:39:38)
75,BP 110/02 (717221),ZSK 70.5,22010672,6:00,37,Trainee,11,0.43,PASS,74.27,4.56,23.49,-0.16,-0.02,0.4,52.24,"0,16 dunkler","0,02 weniger rot","0,40 gelber",0.24,188 (15.09.2022 07:41:02)
76,BP 110/02 (717231),ZSK 70.8,22010644,18:00,37,Trainee,11,1.87,FAIL,73.26,5.32,24.33,-1.18,0.74,1.25,54.94,"1,18 dunkler","0,74 röter","1,25 gelber",1.19,192 (15.09.2022 09:13:04)
77,BP 110/02 (717231),ZSK 70.6,22010644,6:00,37,Trainee,11,2.94,FAIL,72.17,5.7,24.6,-2.26,1.12,1.51,56.36,"2,26 dunkler","1,12 röter","1,51 gelber",2.03,193 (15.09.2022 09:15:14)
78,BP 110/02 (717221),ZSK 70.8,22010644,6:00,37,Trainee,11,3.12,FAIL,71.96,5.75,24.58,-2.48,1.17,1.49,56.49,"2,48 dunkler","1,17 röter","1,49 gelber",2.18,194 (15.09.2022 09:17:21)
79,BP 110/02 (717231),ZSK 70.8,22010643 1-22,16:12 AA,37,Trainee,11,3.04,FAIL,72.05,5.82,24.51,-2.38,1.24,1.43,56.39,"2,38 dunkler","1,24 röter","1,43 gelber",2.14,207 (15.09.2022 10:15:21)
80,BP 110/02 (717221),ZSK 70.4,22010671,18:00,37,Trainee,11,2.55,FAIL,76.58,3.52,22.2,2.14,-1.06,-0.89,47.94,"2,14 heller","1,06 weniger rot","0,89 weniger gelb",1.87,228 (15.09.2022 11:19:46)
81,BP 110/02 (717221),ZSK 70.5,22010671,18:00,37,Trainee,11,0.79,PASS,75.06,4.11,22.97,0.63,-0.47,-0.11,50.53,"0,63 heller","0,47 weniger rot","0,11 weniger gelb",0.64,229 (15.09.2022 11:24:24)
82,BP 110/02 (717221),MP,22010671,23:21 AA,37,Trainee,11,1.7,FAIL,75.69,3.88,22.16,1.25,-0.7,-0.92,48.63,"1,25 heller","0,70 weniger rot","0,92 weniger gelb",1.17,230 (15.09.2022 11:26:50)
83,BP 110/02 (717221),MP,2201672,11:37,37,Trainee,11,1.51,FAIL,75.69,3.93,22.56,1.25,-0.65,-0.53,49.36,"1,25 heller","0,65 weniger rot","0,53 weniger gelb",1.11,241 (15.09.2022 13:04:30)
84,BP 110/02 (717221),ZSK 70.4,22010674,6:00,37,Trainee,11,2.86,FAIL,76.45,3.14,21.65,2.02,-1.44,-1.43,46.7,"2,02 heller","1,44 weniger rot","1,43 weniger gelb",2.07,252 (16.09.2022 10:21:53)
85,BP 110/02 (717221),ZSK 70.5,22010674,6:00,37,Trainee,11,0.67,PASS,74.75,4.17,23.5,0.32,-0.41,0.42,51.65,"0,32 heller","0,41 weniger rot","0,42 gelber",0.54,253 (16.09.2022 10:23:20)
86,BP 110/02 (717231),ZSK 70.8,22010645,6:00,37,Trainee,11,3.8,FAIL,71.42,5.9,24.99,-3.01,1.33,1.9,57.64,"3,01 dunkler","1,33 röter","1,90 gelber",2.62,254 (16.09.2022 10:40:37)
87,BP 110/02 (717231),ZSK 70.8,22010645,18:00,37,Trainee,11,4.83,FAIL,70.21,6.23,24.76,-4.22,1.65,1.68,58.26,"4,22 dunkler","1,65 röter","1,68 gelber",3.53,255 (16.09.2022 10:42:32)
88,BP 110/02 (717231),ZSK 70.8,22010645,18:00,37,Trainee,11,2.94,FAIL,72.09,5.68,24.47,-2.35,1.1,1.38,56.15,"2,35 dunkler","1,10 röter","1,38 gelber",2.06,256 (16.09.2022 10:46:51)
89,BP 110/02 (717231),ZSK 70.8,22010644,18:00,37,Trainee,11,4.79,FAIL,70.57,6.34,25.3,-3.86,1.76,2.21,59.1,"3,86 dunkler","1,76 röter","2,21 gelber",3.37,258 (16.09.2022 11:00:42)
90,BP 110/02 (717231),MP,22010644,18:38,37,Trainee,11,3.74,FAIL,71.3,5.87,24.68,-3.13,1.29,1.59,57.14,"3,13 dunkler","1,29 röter","1,59 gelber",2.66,259 (16.09.2022 11:02:22)
91,BP 110/02 (717221),ZSK 70.4,22010673,18:00,37,Trainee,11,0.94,Warnung,75.28,4.2,23.26,0.85,-0.38,0.17,51,"0,85 heller","0,38 weniger rot","0,17 gelber",0.73,267 (16.09.2022 12:02:32)
92,BP 110/02 (717221),ZSK 70.5,22010673,18:00,37,Trainee,11,0.56,PASS,73.88,4.66,23.01,-0.55,0.08,-0.07,51.71,"0,55 dunkler","0,08 röter","0,07 weniger gelb",0.42,268 (16.09.2022 12:03:45)
93,BP 110/02 (717221),MP,22010673 1-22,2:43,37,Trainee,11,0.87,Warnung,74.99,4.12,23.58,0.55,-0.45,0.49,51.63,"0,55 heller","0,45 weniger rot","0,49 gelber",0.68,269 (16.09.2022 12:04:41)
94,BP 110/02 (717221),MP,22010674 1-22,17:07,38,Trainee,11,0.67,PASS,75.06,4.38,23.19,0.63,-0.2,0.11,51.17,"0,63 heller","0,20 weniger rot","0,11 gelber",0.51,276 (19.09.2022 08:16:15)
95,BP 110/02 (717231),ZSK 70.8,22010645,18:00,38,Trainee,11,3.46,FAIL,71.58,6.01,24.42,-2.86,1.43,1.33,56.68,"2,86 dunkler","1,43 röter","1,33 gelber",2.51,277 (19.09.2022 09:46:48)
96,BP 110/02 (717231),ZSK 70.8,22010645 1-22,18:00,38,Trainee,11,3.1,FAIL,71.88,5.85,24.3,-2.55,1.28,1.21,56.15,"2,55 dunkler","1,28 röter","1,21 gelber",2.25,278 (19.09.2022 09:48:02)
97,BP 110/02 (717231),MP,22010645,20:28,38,Trainee,11,3.11,FAIL,71.88,5.86,24.3,-2.56,1.28,1.21,56.16,"2,56 dunkler","1,28 röter","1,21 gelber",2.25,279 (19.09.2022 09:49:49)
98,BP 110/02 (717231),ZSK 70.8,22010646,9:15,38,Trainee,11,3.85,FAIL,71.13,6,24.47,-3.3,1.42,1.38,57,"3,30 dunkler","1,42 röter","1,38 gelber",2.81,283 (19.09.2022 10:50:52)
99,BP 110/02 (717221),ZSK 70.4,22010675,9:00,38,Trainee,11,0.91,Warnung,75.17,4.05,23,0.74,-0.53,-0.08,50.48,"0,74 heller","0,53 weniger rot","0,08 weniger gelb",0.74,284 (19.09.2022 11:53:25)
100,BP 110/02 (717221),ZSK 70.5,22010675,9:00,38,Trainee,11,1.21,FAIL,73.31,4.67,22.66,-1.13,0.09,-0.42,51.4,"1,13 dunkler","0,09 röter","0,42 weniger gelb",0.87,285 (19.09.2022 11:54:40)
101,BP 110/02 (717221),ZSK 70.5,22010675,9:45,38,Trainee,11,0.87,Warnung,73.81,4.93,23.58,-0.62,0.35,0.5,53,"0,62 dunkler","0,35 röter","0,50 gelber",0.59,286 (19.09.2022 11:56:43)
102,BP 110/02 (717221),ZSK 70.5,22010675,10:45,38,Trainee,11,0.94,FAIL,74.18,4.72,23.98,-0.25,0.14,0.89,53.28,"0,25 dunkler","0,14 röter","0,89 gelber",0.47,287 (19.09.2022 11:58:29)
103,BP 110/02 (717231),ZSK 70.8,22010646,11:40 AA,38,Trainee,11,4.12,FAIL,70.93,6.08,24.66,-3.5,1.5,1.57,57.53,"3,50 dunkler","1,50 röter","1,57 gelber",2.98,289 (19.09.2022 12:57:13)
104,BP 110/02 (717231),ZSK 70.8,22010646,18:00 AA,38,Trainee,11,2.17,FAIL,72.89,5.48,24.31,-1.55,0.9,1.23,55.26,"1,55 dunkler","0,90 röter","1,23 gelber",1.47,291 (20.09.2022 08:19:37)
105,BP 110/02 (717231),ZSK 70.8,22010646,06:00 AA,38,Trainee,11,0.74,Warnung,74.53,4.67,23.81,0.1,0.09,0.73,52.77,"0,10 heller","0,09 röter","0,73 gelber",0.36,292 (20.09.2022 08:21:27)
106,BP 110/02 (717231),ZSK 70.8,22010646,6:00,38,Trainee,11,0.76,PASS,75.14,4.37,23.27,0.71,-0.21,0.18,51.25,"0,71 heller","0,21 weniger rot","0,18 gelber",0.57,293 (20.09.2022 08:23:18)
107,BP 110/02 (717231),ZSK 70.8,22010646,18:00,38,Trainee,11,0.28,PASS,74.19,4.56,22.94,-0.25,-0.02,-0.14,51.34,"0,25 dunkler","0,02 weniger rot","0,14 weniger gelb",0.19,294 (20.09.2022 08:29:05)
108,BP 110/02 (717221),ZSK 70.4,22010675,18:00,38,Trainee,11,2.37,FAIL,76.5,3.63,22.43,2.07,-0.95,-0.65,48.48,"2,07 heller","0,95 weniger rot","0,65 weniger gelb",1.76,295 (20.09.2022 08:55:19)
109,BP 110/02 (717221),ZSK 70.5,22010675,18:00,38,Trainee,11,1.44,FAIL,75.61,4.3,22.31,1.18,-0.28,-0.78,49.31,"1,18 heller","0,28 weniger rot","0,78 weniger gelb",0.96,296 (20.09.2022 08:56:40)
110,BP 110/02 (717221),MP,22010675,1:36,38,Trainee,11,1.91,FAIL,75.93,3.65,22.35,1.5,-0.93,-0.74,48.62,"1,50 heller","0,93 weniger rot","0,74 weniger gelb",1.42,297 (20.09.2022 08:57:43)
111,BP 110/02 (717221),ZSK 70.4,22010676,6:00,38,Trainee,11,3.5,FAIL,76.64,3.4,20.64,2.21,-1.18,-2.44,45.1,"2,21 heller","1,18 weniger rot","2,44 weniger gelb",2.22,298 (20.09.2022 09:20:53)
112,BP 110/02 (717221),ZSK 70.5,22010676,6:00,38,Trainee,11,1.05,FAIL,75.4,4.28,22.8,0.97,-0.3,-0.29,50.23,"0,97 heller","0,30 weniger rot","0,29 weniger gelb",0.77,299 (20.09.2022 09:22:12)
