,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
248,BP 110/02 (717221),ZSK 70.8,22010711,13:00,44,SK,11,1.35,FAIL,73.32,5.06,23.67,-1.12,0.48,0.59,53.53,"1,12 dunkler","0,48 röter","0,59 gelber",0.96,1007 (02.11.2022 13:29:38)
249,BP 110/02 (717221),ZSK 70.8,22010712,6:20,44,LK,11,0.19,PASS,74.54,4.74,23.11,0.11,0.16,0.03,51.63,"0,11 heller","0,16 röter","0,03 gelber",0.17,1030 (03.11.2022 09:38:18)
250,BP 110/02 (717221),ZSK 70.8,22010712,6:50,44,LK,11,0.23,PASS,74.53,4.75,23.21,0.1,0.17,0.12,51.81,"0,10 heller","0,17 röter","0,12 gelber",0.17,1031 (03.11.2022 09:39:47)
251,BP 110/02 (717221),ZSK 70.8,22010711,18:00,44,LK,11,0.72,PASS,75.13,4.46,22.98,0.7,-0.12,-0.1,50.86,"0,70 heller","0,12 weniger rot","0,10 weniger gelb",0.53,1035 (03.11.2022 11:33:16)
252,BP 110/02 (717221),ZSK 70.8,22010711,18:00 AA,44,LK,11,0.6,PASS,73.99,4.97,23.16,-0.45,0.39,0.07,52.21,"0,45 dunkler","0,39 röter","0,07 gelber",0.49,1036 (03.11.2022 11:34:15)
253,BP 110/02 (717221),MP,22010711,0:23,44,LK,11,0.34,PASS,74.31,4.89,23.1,-0.13,0.32,0.01,51.87,"0,13 dunkler","0,32 röter","0,01 gelber",0.32,1037 (03.11.2022 11:35:46)
254,BP 110/02 (717221),ZSK 70.8,22010712,9:44,44,LK,11,0.3,PASS,74.73,4.6,23.05,0.29,0.02,-0.03,51.31,"0,29 heller","0,02 röter","0,03 weniger gelb",0.22,1038 (03.11.2022 11:50:27)
255,BP 110/02 (717221),ZSK 70.8,22010713,06:11 AA,44,LK,11,1.06,FAIL,75.44,4.6,22.77,1.01,0.02,-0.32,50.48,"1,01 heller","0,02 röter","0,32 weniger gelb",0.76,1057 (04.11.2022 11:07:15)
256,BP 110/02 (717221),ZSK 70.8,22010713,6:51,44,LK,11,1.79,FAIL,75.9,4.2,22.12,1.46,-0.38,-0.96,48.77,"1,46 heller","0,38 weniger rot","0,96 weniger gelb",1.2,1058 (04.11.2022 11:08:43)
257,BP 110/02 (717221),ZSK 70.8,22010713,10:03,44,LK,11,2.12,FAIL,76,4.03,21.76,1.57,-0.55,-1.32,47.93,"1,57 heller","0,55 weniger rot","1,32 weniger gelb",1.37,1059 (04.11.2022 11:10:00)
258,BP 110/02 (717221),ZSK 70.8,22010712,18:15,44,LK,11,0.7,PASS,75.11,4.57,23.29,0.67,0,0.21,51.51,"0,67 heller","0,00 weniger rot","0,21 gelber",0.5,1064 (04.11.2022 11:17:18)
259,BP 110/02 (717221),ZSK 70.8,22010712,18:00 AA,44,LK,11,0.32,PASS,74.4,4.87,23.22,-0.03,0.29,0.13,52.01,"0,03 dunkler","0,29 röter","0,13 gelber",0.27,1065 (04.11.2022 11:18:24)
260,BP 110/02 (717221),MP,22010712,1:25,44,LK,11,0.55,PASS,74.41,5.03,23.4,-0.02,0.46,0.31,52.48,"0,02 dunkler","0,46 röter","0,31 gelber",0.42,1066 (04.11.2022 11:20:03)
261,BP 110/02 (717221),ZSK 70.8,22010713,18:15,44,LK,11,1.52,FAIL,73.37,5.31,23.88,-1.06,0.73,0.8,54.11,"1,06 dunkler","0,73 röter","0,80 gelber",1.06,1080 (07.11.2022 12:01:05)
